,num_communities,min_conductance,max_conductance,avg_conductance,min_tpr,max_tpr,avg_tpr,asymptotic_surprise,significance,id
num_nodes_5_threshold_10,1.0,1.022886259607911,1.022886259607911,1.022886259607911,0.4,0.4,0.4,100.54938024136455,128.00218283659265,N_5_T_10
num_nodes_5_threshold_25,3.0,1.0210726314880387,1.0210726314880387,0.34035754382934624,0.0,0.5,0.16666666666666666,67.5847908189293,85.98068992290935,N_5_T_25
num_nodes_5_threshold_50,5.0,1.0138979370249728,1.0232291367938056,0.4074254147637557,0.0,1.0,0.3833333333333333,45.565184017207756,58.13920090167293,N_5_T_50
num_nodes_5_threshold_75,5.0,1.0138979370249728,1.0232291367938056,0.4074254147637557,0.0,1.0,0.3833333333333333,45.565184017207756,58.13920090167293,N_5_T_75
num_nodes_5_threshold_100,5.0,1.0138979370249728,1.0232291367938056,0.4074254147637557,0.0,1.0,0.3833333333333333,45.565184017207756,58.13920090167293,N_5_T_100
num_nodes_25_threshold_10,7.0,1.0226125476460286,1.0308061079545454,0.29334552222865345,0.0,1.0,0.4126984126984127,853.8983974287372,1090.5713378267872,N_25_T_10
num_nodes_25_threshold_25,13.0,1.0206036880601628,1.0250355113636365,0.1573568614941384,0.0,1.0,0.3781354515050167,671.2598082447914,856.7878605123133,N_25_T_25
num_nodes_25_threshold_50,25.0,1.0022955176996495,1.0587412587412588,0.16290950468908186,0.0,1.0,0.4733333333333333,207.12594592828415,265.244513175495,N_25_T_50
num_nodes_25_threshold_75,25.0,1.0022955176996495,1.0587412587412588,0.16290950468908186,0.0,1.0,0.4733333333333333,207.12594592828415,265.244513175495,N_25_T_75
num_nodes_25_threshold_100,25.0,1.0022955176996495,1.0587412587412588,0.16290950468908186,0.0,1.0,0.4733333333333333,207.12594592828415,265.244513175495,N_25_T_100
num_nodes_125_threshold_10,34.0,0.9995061728395062,1.3187772925764192,0.37389290479295456,0.0,1.0,0.3048885730762893,3303.593184466884,4281.867443060424,N_125_T_10
num_nodes_125_threshold_25,56.0,1.0080170462112132,1.3187772925764192,0.22711089823385786,0.0,1.0,0.28299867926707684,2495.906128888486,3236.2706095559847,N_125_T_25
num_nodes_125_threshold_50,112.0,0.9965753424657534,1.244343891402715,0.14926324899769325,0.0,1.0,0.29115166900093364,1192.501548949501,1526.8455265634298,N_125_T_50
num_nodes_125_threshold_75,118.0,0.9965753424657534,1.244343891402715,0.16667608380564355,0.0,1.0,0.29480787806441977,907.5438247282908,1118.4436904415165,N_125_T_75
num_nodes_125_threshold_100,118.0,0.9965753424657534,1.244343891402715,0.18449006828960524,0.0,1.0,0.290635593220339,912.339531444023,1101.7026186126102,N_125_T_100
num_nodes_625_threshold_10,214.0,0.6665794294687255,45.666666666666664,0.8650253604094583,0.0,1.0,0.1893767348085386,11790.043132259201,15192.454312048698,N_625_T_10
num_nodes_625_threshold_25,344.0,0.6665794294687255,7.666666666666667,0.4465918221211742,0.0,1.0,0.18773053316158278,9426.120445437937,12047.63381350993,N_625_T_25
num_nodes_625_threshold_50,545.0,0.5391617273497037,15.6,0.36309090531488947,0.0,1.0,0.16524247038085704,5344.778112490959,6313.518879556732,N_625_T_50
num_nodes_625_threshold_75,583.0,0.5391617273497037,15.6,0.36285432930625217,0.0,1.0,0.1630093595569484,4469.751762118021,5033.2159928247,N_625_T_75
num_nodes_625_threshold_100,582.0,0.875,15.6,0.40076233106953163,0.0,1.0,0.15927771149656586,4470.461278523184,4965.540658751293,N_625_T_100
