Num_Topics,Log_Perplexity_df_40_P_20_I_50,Topic_Coherence(u_mass)_df_40_P_20_I_50,Topic_Coherence(c_uci)_df_40_P_20_I_50,Topic_Coherence(c_v)_df_40_P_20_I_50,Topic_Coherence(c_npmi)_df_40_P_20_I_50
10.0,-8.383217340133646,-1.1899500615408265,-0.2555999564264454,0.3902852929821646,0.03761494337242893
20.0,-8.352339901873476,-1.2215447895340907,-0.27826723951813326,0.41461828188830524,0.04048064214576085
30.0,-8.355470144833488,-1.467881553914423,-0.4731245061315936,0.39567888303432663,0.031634123100749735
40.0,-8.340605180019258,-1.1311066177524474,-0.1464120936965024,0.41199572507177085,0.041050134753712816
50.0,-8.34362142029839,-1.3481532034074686,-0.5214748909848066,0.41858343572692663,0.024884529216319517
60.0,-8.327580306625698,-1.4334656823352836,-0.3204079571839616,0.4424150717825289,0.04116408461466641
70.0,-8.34719618160558,-1.6052611160373618,-0.44810234998091936,0.428536465679368,0.024796205794307316
80.0,-8.359744880866476,-1.905215590860682,-0.9067591141737548,0.38797560723345,-0.0014973855095226584
90.0,-8.356806924493863,-1.8324193901831267,-0.3832618192032181,0.44496013095344344,0.033109660678290756
100.0,-8.36085776536732,-1.5336774204442156,-0.7823824355752741,0.4178550758239832,0.01047266053465502
