Num_Topics,Log_Perplexity_df_40_P_30_I_50,Topic_Coherence(u_mass)_df_40_P_30_I_50,Topic_Coherence(c_uci)_df_40_P_30_I_50,Topic_Coherence(c_v)_df_40_P_30_I_50
10.0,-8.361085182578481,-0.8201568586605065,-0.09415607174292899,0.3959027388035467
20.0,-8.31135005983761,-0.8482167222703538,-0.06995280018382692,0.39243815007211424
30.0,-8.30962434107691,-1.2479625905658225,-0.23511580788258388,0.41866680123418337
40.0,-8.314711838973412,-1.504335879332292,-0.5231385344354027,0.36716169099189877
50.0,-8.299723315309482,-1.3838953523409014,-0.8732075199064514,0.40269253152684553
60.0,-8.309134005907623,-1.267194760991422,-0.6349379587093396,0.38996011217439414
70.0,-8.289096384465035,-1.6466420132620274,-0.9121023655126931,0.41056407909407405
80.0,-8.297744182497366,-1.6486249585374662,-0.7616671985598076,0.4222973454467242
90.0,-8.290747157170347,-2.015978671605678,-0.7421342852823625,0.43552880666308025
100.0,-8.303837252788599,-1.8417008889856568,-0.5802068224240222,0.43925695264775266
