Num_Topics,Log_Perplexity_df_80_P_1_I_50,Topic_Coherence(u_mass)_df_80_P_1_I_50
10.0,-8.759360679183505,-0.06769457368289218
20.0,-8.973625270731524,-0.0749592996004988
30.0,-9.160677639966798,-0.11080230434372211
40.0,-9.34805677080908,-0.07695414930145669
50.0,-9.593186074913172,-0.09282342705075748
60.0,-9.771834362740735,-0.08354820144041655
70.0,-10.010288230706049,-0.08145253107549315
80.0,-10.166806389131724,-0.0785842402247271
90.0,-10.43784617121859,-0.07424200483715068
100.0,-10.611614676294002,-0.09626841304611258
