Num_Topics,Log_Perplexity_df_80_P_50_I_50,Topic_Coherence(u_mass)_df_80_P_50_I_50,Topic_Coherence(c_uci)_df_80_P_50_I_50
10.0,-8.384001494363329,-0.8647570291770437,0.012097120543918694
20.0,-8.335302177276942,-1.2659854140579587,-0.3958699001072391
30.0,-8.321912070432607,-1.895736162518133,-0.22657025024896518
40.0,-8.309288691796217,-1.9513980136299331,-0.45944823527721546
50.0,-8.300436395930248,-1.7488560431361662,-0.49076157492733435
60.0,-8.303206712390374,-1.5250465169238887,-0.2561881666688938
70.0,-8.291200464755006,-2.389923571875136,-0.3959458103987645
80.0,-8.295982978482266,-1.4740343416351336,-0.3574059654731536
90.0,-8.300018386636554,-1.8617673109290134,-0.31236560874222075
100.0,-8.287505338701719,-2.0555462796274484,-0.6644850028351799
